local_date,local_time,station_id,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,temperature_c,dewpoint_c,altimeter_hpa
01/06/23,08:51:02,KSAN,340.0,3.0,0.0,10.0,12.2,10.0,30.25
01/06/23,09:51:02,KSAN,,4.0,0.0,10.0,15.0,10.6,30.25
01/06/23,10:51:02,KSAN,320.0,5.0,0.0,10.0,16.1,10.0,30.24
01/06/23,11:51:02,KSAN,280.0,10.0,0.0,10.0,16.1,8.9,30.22
01/06/23,12:51:02,KSAN,300.0,9.0,0.0,10.0,16.1,8.9,30.2
01/06/23,13:51:02,KSAN,310.0,7.0,0.0,10.0,16.7,10.0,30.18
01/06/23,14:51:02,KSAN,310.0,9.0,0.0,10.0,16.1,10.0,30.17
01/06/23,15:51:02,KSAN,340.0,8.0,0.0,10.0,15.6,9.4,30.18
01/06/23,16:51:01,KSAN,330.0,7.0,0.0,10.0,14.4,8.9,30.18
01/06/23,17:51:01,KSAN,340.0,5.0,0.0,10.0,13.9,9.4,30.18
01/06/23,18:51:01,KSAN,350.0,5.0,0.0,9.0,13.3,9.4,30.17
01/06/23,19:51:02,KSAN,20.0,3.0,0.0,8.0,12.8,9.4,30.17
01/06/23,20:51:02,KSAN,0.0,0.0,0.0,8.0,12.2,9.4,30.17
01/06/23,21:51:02,KSAN,20.0,4.0,0.0,6.0,11.7,9.4,30.18
01/06/23,22:51:02,KSAN,20.0,4.0,0.0,6.0,11.1,9.4,30.19
01/06/23,23:51:02,KSAN,0.0,0.0,0.0,6.0,11.1,8.9,30.18
01/07/23,00:51:02,KSAN,0.0,0.0,0.0,6.0,11.7,10.0,30.15
01/07/23,01:51:02,KSAN,0.0,0.0,0.0,6.0,10.0,8.3,30.15
01/07/23,02:51:02,KSAN,0.0,0.0,0.0,6.0,8.9,7.8,30.15
01/07/23,03:51:02,KSAN,0.0,0.0,0.0,8.0,8.3,6.7,30.14
01/07/23,04:51:02,KSAN,0.0,0.0,0.0,10.0,7.8,6.1,30.14
01/07/23,05:51:02,KSAN,0.0,0.0,0.0,10.0,8.3,5.0,30.15
01/07/23,06:51:02,KSAN,0.0,0.0,0.0,10.0,7.8,5.6,30.17
01/07/23,07:51:02,KSAN,90.0,3.0,0.0,10.0,10.6,6.1,30.18
01/07/23,08:51:02,KSAN,140.0,4.0,0.0,10.0,15.0,3.3,30.19
01/07/23,09:51:02,KSAN,180.0,3.0,0.0,10.0,16.1,4.4,30.19
01/07/23,10:51:02,KSAN,0.0,0.0,0.0,10.0,17.2,3.3,30.19
01/07/23,11:51:02,KSAN,,3.0,0.0,10.0,18.9,2.8,30.16
01/07/23,12:51:02,KSAN,170.0,3.0,0.0,10.0,19.4,0.6,30.14
